盛夏光年time 小鸟医人[doge][doge][doge][doge]
Ouz108 所以侮辱尸体的时候，发现尸体活了，但还继续，怎么定？？？也是侮辱既遂？？？

bili_64896215750 妙手回春[doge]

璟瑄O5 up主人才

Vortex丷 见义勇为[doge]

沙雕网友真吉跋多 每天看一条我觉得我能为所欲为[吃瓜]

醉今酒死也不充钱 难道不是应该算救人么[嫌弃][嫌弃]

江山入畫 疑惑那人能在没有刺激的情况下活过来吗？

launchpadRGB 为什么挑这些很恶心的话题，能不能说一下和人们切身利益相关的，比如劳动法维权之类的

网络可是法外之地 日活挺不错[doge]

骨头骨头骨头噗 针入还阳

一个皮包公司的老板 觉得把一个死尸强暴活了。应该定见义勇为才对。

起名字真难我不是小号 卧槽(*｀へ´*)，这个审不了死刑吧[捂脸][捂脸]

是我是我不理不理 学法律的人好恐怖，什么奇怪的事情和案件都想的出来

ader1442 老师头秃了

souliswhite 最多一个无证行医罪。

青凌绘 我居然蒙对了hhhhhhhhhh

Magictom1 妙diao回春

青凌绘 [热词系列_知识增加]

高町_奈叶菲特薇薇欧 两个都判吧[doge]，反正他就是强了

赫麦尤斯 冥土追魂

怎么体重就是上不去 不太理解。这是在法律条文的解读中加入了经验主义的价值观解读了吧？也就是说，逻辑上应该判未遂，但价值观上应该判断既遂。如果我以上说的对罗老师的理解是正确的，那么这种非逻辑论证在法庭上是可以被普遍认可吗？

改名字都不给你投币 比较恐怖的是我们村还真有一个人真的干了，结果愣是吧猝死那个女的给淦回来了[囧]

风中的独行者 题目总在刷新世界观……恶人真是没下限

白学物语 原来法律上不讲究行为事实吗

思思的可爱胖东西 @可爱胖东西的思思我又全对，我太猛了

彦青- 生死之交？

刀锋渐暖 只要我主观认为你是死人，无论过程中你是不是推搡还是尖叫。那么我强奸你就可以认定为：侮辱尸体的既遂？是这么理解吗。

金针渡人 我发现你们这些b根本不是来学习法律的，就是来吹牛逼玩梗[滑稽]

五点起床的狠人 我觉得这算在救人……

书山压力大l 整天研究这种问题，难怪罗老师秃顶[笑哭]

墨灵的白猫 休息休息吧都有点西谢顶了[大哭]

山上的栗子树 见义勇为未遂

黑暗小FA师 舒服罪

马化腾的爸爸是我 阔以

ljbeiji 卧槽活了[微笑]

Cyinc_ 注   入   灵   魂[doge]

玉面银枪俏三郎 看了标题后头皮发麻[囧]

瑜霁 辱尸未遂

北沐凉城丶 你把电给充上了，当然就复活了。

吾妻高木天下第一 这是一针强心剂啊

烤红薯de马 灵魂法师，通过法器注入灵魂。[doge]

冷喵喵pp 奇怪的知识增加了[热词系列_知识增加]

正正经经可可爱爱 那这个人在停尸房自己又判断了一下知道这人没死，其实想强奸，然后招供的时候说是想侮辱尸体呢？

妖酒久 薛定谔的人，在未强j的时候，你永远不清楚你犯的是强j还是侮辱尸体[嫌弃]

数字者的大魔王 薛定谔的人

bili_29573140368 只能定比较轻的罪，反之容易造成灭口

语念此生 [热词系列_知识增加][热词系列_知识增加][热词系列_知识增加]

258酱 猜测主客观产生矛盾，是奸尸的未遂和强奸的既遂，

哼小破站 果然打一针就好了[OK]

山泽君追番日记 注入生命？

tayorc 就没选对过，太难了

bili_94267850133 又一次全对[呲牙]

等我光芒 已举报

今下两花 见义勇为罪！

苍穹高处 妙手回春枪[奸笑]

风言林梢 为什么我看不懂[囧]

爱吃祥丶 妙手回春

阎大诤 判不了死刑吧

木偶丶独角戏 根治百病[doge]

小黑小白bl 我很好奇万一这男的被吓死了，那个前尸体会承担责任吗

25325896115_bili [热词系列_知识增加]

TOM猫爸爸 VSPDS-131

秃头稻长 被注入灵魂了[doge]

支付宝到账壹佰元 奇怪的罪犯增加了[热词系列_知识增加]

斯丢呗李白 安娜弗里茨的尸体

我周树人不背锅 妙根回春[doge]

胧光之努亚达 ？？？？？？

菜铲丶呆刺 发一面锦旗得了。另外尸体不是自然人也没有人权，亵渎尸体是不是不算犯罪？

蓝七SAMA 这都能投自制可还行！

爱吃葱花千层饼 再水一方

口袋兽sho 怕不是下半辈子都吓软了[滑稽]

滩潭毯炭 懂了，这就去停尸房溜达，准备救人[doge]

小林ol 注入灵魂罪

老夫要吃巧克力 杀死比尔？

面-瘫 张三强奸完尸体，尸体复活了，张三事前不知道尸体没死，请问是侮辱尸体还是强奸？？？？？

尘埃⑧洅 复活尸体

徽老板儿 这种标题真恶趣味

企业级先进人物 医学奇迹

大空不知火 一大早上的???

南山ぇ 什么鬼？

普通游戏人 妙计（鸡）回春？？？[doge]

嘿-Siri_播放我的音乐 主观辱尸，客观强奸，定辱尸既遂，主观伤害，客观杀人，伤害既遂，过失杀人，主观强奸，客观辱尸，定强奸未遂主观杀人，客观伤害，定杀人未遂

pain6D 干了强奸的事，接受辱尸的罪，血赚

沉默的花边 尸姬[滑稽]

无产阶级英雄 明白了，这就去停尸房

古剑刚回家结婚 张三现在越来越嚣张了

av56099539 [热词系列_害怕]

嗯果然肥 张三在注入灵魂？医学奇迹

三百米长的大黄鳝 《黄弟内经》[蛆音娘_滑稽]

绿头-_ B站真的变味了。回不到以前那个单纯的B站了。整站都充斥着这些低俗恶趣味，触目皆这些跳梁小丑哗众取宠。我搞不懂素质这么差的一个人为什么会一而再再而三的出现在我的推荐里面。屏蔽都没用。 心里很不是滋味。哦原来是我看得多所以才推荐这么多，那没事了[OK][OK]

沥泫 秽土转生

暴力紫罗兰 b站人均变态，这视频跑热榜上去了[抠鼻]

最弱之神 @孙笑川258

大概是只狗子吧 兄弟们，把公屏打在害怕上

求伤求败求刺激 非法行医

__屿__ 请问不给钱就不算嫖有法律依据吗[滑稽]

47729209044_bili 张三qj尸体，尸体复活，张三吓得不举去了医院，碰见了李四，突然性质大起qj了李四，李四生气，拿着棍子去报仇打错了人，被王五反杀打死，这时候张三出现，qj李四尸体，李四复活，睁眼掐死了张三，都犯什么罪？

可可爱爱小橘子 噗总是有奇奇怪怪的案件出现在主页

风声喧嚣 就不能整点阳间问题

树上5只鸟 法的目的是什么

bili_90240902281 不是，人家在b站有号，你还在这搬视频

24岁丶是司机 哎，越来越离谱

辰鸢鸢喵呜 我寻思我qj的是死人我为什么要告诉他们我最开始是以为那是个活人[doge][doge]

改名不信欧不了 不用定罪，反正家属会打死你[妙啊][妙啊][妙啊]

掉色先生 我觉得就按结果定罪，不管是否主观意志！故意杀人跟过失杀人刑罚差太远了，杀人偿命天经地义！

昵称为空t 我看他快死了 给她做人工呼吸呢

佚名嘉 懂了 主观上想侮辱校花 客观上是强奸校花。

今天作废 主观上是保护死人，客观上是保护活人

跪地40发描边 主客观相统一+想象竞合从一重罪

C酱天下第一 真事儿？不是就有点。。

啊呵呵 居然都选对了。给我的感觉就是判什么只管现实你做了什么。比如这事。不管你主观想不想强j。但事实上面前的不是活人，所以这时候就应该出大威天龙了[doge]话说，有没有强j致活的情况。。

不曾怀恋 生死之交[doge]

小种经略相公 包容评价

丶Nokia 第一眼看成赶尸了…………

两根腋毛 封面有点东西

顾得衣舞宁 弹幕的非法行医笑死我了[喜极而泣]

不噬元虽兽 医学奇迹

蜻蜓队长bill 你就是馋她的身子  死活都无所谓

鳥不落帝國 妙吊回春[滑稽]

Moooongo 非法行医罪

小死森 要判多久？

第一贞德厨 针灸圣手

BAKAYARO00 当事人是用共振的方法为休克假死的被害人做脉搏复苏，当事人并没有触犯任何违法行为

把你号给老子交了 这还定罪?这造福人类的选手不给个国家顶级保护动物?

我运气超好的- 四个选项这么难

我又出六星啦 ？这不是华佗转生入dio悬根济世？

雪鸢yukitobi 看个视频还要互动好麻烦啊

超高校级的幸运的妹夫 大家觉得活人和死人有没有重合？答：薛定谔的尸体

诡异的神 明白了张三的jy能复活死人

赫尔梅斯001 狗题目，全选错[囧][大哭]五星好评五次付清[委屈]

该账户已失联 该睡觉了

萌萌哒央音小琴语 非法行医罪

心形冠状病毒 这标题就离谱。。

缘生今世 啊，好烧脑啊[捂脸]

bili_309875731 主观上不是想强奸，客观上不是尸体，四个选项都不对

bili_512870418 睡不着。

ctk744 首先你就证明不了你是想要强奸还是辱尸，所以应该是数罪并罚

人的思维就是四维空间 既然人已经活了，那就按强奸罪来处理呗。

资本的-力量 发条友善的评论，皆大欢喜啊，人活了，人被抓了

是奕渊啊 我全错，我是不是不能当法师了

neko蜜雅Hinatadesu 盲猜辱尸未遂，强奸既遂[OK]

AsomeOne 难道这种机械运动跟心脏复苏有异曲同工之处。。。

太平帝君 修仙

CnNB12344 现在还有活人吗，请报道[doge][doge]好好想想为什么会给你推荐这种视频[吃瓜][滑稽][doge]

空白弱无敌 一个死尸被打了一针，救活了，救死扶伤，见义勇为

验证码拧在一起好累 这就是起死回生？您就是华佗再世？

吾六没有柒 真像只有一个，该女子太久没受到滋润委屈离开人世，该男子路过抚摸该女子发现还是热的，就趁热打铁，该女子还没走远被他一扎，完成了一个医学奇迹[吃瓜][吃瓜]

小圆号瞎鸡儿吹 强行复活罪[滑稽]

bili_36023464890 吓死人

黑犬黑犬桑 这是医学的奇迹啊。[doge]

奥巴马哔狗 见 义 勇 为

舰队之盾欧根欧 见。。见义勇为罪？[doge]

楚清涯和她的小友们 全对

コソコソわたし 救人活命

楼文雪 薛定谔的人。。[热词系列_知识增加]

Sylvanasi 这标题我看一眼就是“咦惹”的表情

梵仔 奇怪的知识好像又增加了。。。

清蒸鱼爱好者v1 额，先感谢他把死人救活了

微笑掩饰着忧伤丶 离谱

爱喝东京自来水的种酱 白嫖成功

無賴丶 叫我白嫖怪

敬仲小白 哈哈哈

林疯刚 慢了点，先两个币

我就健身不说话 这个有点重口味

三才逝 康硬币康康多少人答错

